name,price,location,station,area,plan,balcony,build,regist,hashdata,kanrihi,shuuzen,kaisu,soukosu
西台セントラルマンション,3480万円,東京都板橋区西台４,東武東上線「東武練馬」歩13分,68.08m,3LDK,バルコニー面積：6.35m,1984年11月,2023/01/04 18:49,dfe3543704322880f55a4d672a4854138a027173da4034b0a3d0279717998caa,1万4590円／月（委託(通勤)）,1万7820円／月,2階,58戸
コンドミニアム葛西,3480万円,東京都江戸川区西葛西４,東京メトロ東西線「西葛西」歩8分,63.28m,2LDK+S（納戸）,バルコニー面積：7.84m,1979年3月,2023/01/04 18:49,581f1db31d5d0dcabbbdac8efc07b22ff36a7d603933e390ce7180a13068f882,8580円／月（委託(通勤)）,6180円／月,3階,472戸
スカーラ板橋,3480万円,東京都板橋区大谷口北町32-3,東武東上線「中板橋」歩13分,55.96m,2LDK+S（納戸）,バルコニー面積：6.19m,1998年1月,2023/01/04 18:49,6ad497d2867cf2b15582f877973a6f5e49d700bd933aeae0fc7422afe1f6df84,2万4600円／月（委託(巡回)）,1万900円／月,3階,17戸
エンゼルハイム大鳥居第６,3490万円,東京都大田区本羽田３-14-22,京急空港線「大鳥居」歩12分,56.7m,3LDK,テラス：5.4m,1984年10月,2023/01/04 18:49,80bbddeebc606c0c646c79d969687e85418bd2d21cb1fb96e1c6a31ca95faf3c,9920円／月（委託(巡回)）,1万1340円／月,1階,54戸
エンゼルハイム大鳥居第２,3490万円,東京都大田区西糀谷３-7-8,京急空港線「大鳥居」歩7分,61.11m,2LDK+S（納戸）,バルコニー面積：5.4m,1981年11月,2023/01/04 18:49,cdfad62ceee8946de2df378f14c6ad91308aba8991152cba8717976679324eb3,1万6010円／月（委託(巡回)）,1万3540円／月,7階,37戸
エンゼルハイム大鳥居第2,3490万円,東京都大田区西糀谷３,京急空港線「大鳥居」歩7分,61.11m,2LDK+S（納戸）,バルコニー面積：5.4m,1981年11月,2023/01/04 18:49,42ab2a683f261d7af9cd05b4d089737af8a71169a6695e90cbc7bb2ec9ade711,1万6010円／月（自主管理(巡回)）,1万3540円／月,7階,37戸
エンゼルハイム大鳥居第二,3490万円,東京都大田区西糀谷３,京急空港線「大鳥居」歩8分,61.11m,2LDK+S（納戸）,バルコニー面積：5.4m,1981年11月,2023/01/04 18:50,55ee34bc31c17ea6a6dc74019651f87ccd15137ae16feca8f90ec7a5f6e1cd2e,1万6010円／月（委託(通勤)）,1万3540円／月,7階,37戸
エンゼルハイム大鳥居第２,3490万円,東京都大田区西糀谷３,京急空港線「大鳥居」歩7分,61.11m,2LDK+2S（納戸）,バルコニー面積：5.4m,1981年11月,2023/01/04 18:50,cdfad62ceee8946de2df378f14c6ad91308aba8991152cba8717976679324eb3,1万6010円／月（委託(通勤)）,1万3540円／月,7階,-
ルーブルかな杉,3498万円,東京都台東区竜泉１,東京メトロ日比谷線「入谷」歩5分,51.3m,2LDK,バルコニー面積：4.86m,1982年3月,2023/01/04 18:50,238b91dec79c153fe344c4f39f6c6c397edc3c2801b66925727f144c82e60389,1万2410円／月（委託(巡回)）,1万9010円／月,3階,35戸
ライオンズマンション東向島,3499万円,東京都墨田区東向島４-37-2,東武伊勢崎線「東向島」歩2分,52.11m,3DK,バルコニー面積：5.4m,1991年10月,2023/01/04 18:50,7eafe1acc53e448d8b45ff4cebda7f3899ad664627ec024428953765905e1056,1万8000円／月（委託(通勤)）,1万4900円／月,1階,37戸
ワコー石神井公園マンション,3499万円,東京都練馬区高野台２-27-6,西武池袋線「練馬高野台」歩12分,54.25m,2LDK,バルコニー面積：14.72m,1983年7月,2023/01/04 18:50,c98615dbcf1d3adb95a001012e115adaae4a7f99d4706dde52a3ed5597c76120,1万4960円／月（委託(通勤)）,1万5500円／月,4階,-
ライオンズマンション東向島,3499万円,東京都墨田区東向島４-37-2,東武伊勢崎線「東向島」歩2分,53.25m,2LDK,バルコニー面積：3.02m,1991年10月,2023/01/04 18:50,6bc39840aca0f8702a6f394017e958862640608614fe7318fe3378577b9180cb,1万8400円／月（委託(通勤)）,1万5230円／月,2階,37戸
光が丘パークタウン春の風公園街,3499万円,東京都練馬区光が丘７,都営大江戸線「光が丘」歩9分,57.33m,2LDK,バルコニー面積：10.19m,1988年6月,2023/01/04 18:50,0f91e5c277642b867d31b912272f5d1de03b51bda6877e2e16b462398d0d9ad6,1万2200円／月（委託(通勤)）,1万1400円／月,6階,66戸
アドリーム梅島,3299万円,東京都足立区島根１,東武伊勢崎線「梅島」歩12分,60.77m,3LDK,バルコニー面積：8.97m,1995年1月,2023/01/06 00:54,0705bf64265bb607a122f60e3be9c180255b5be0c33714779981507242265522,1万2600円／月（委託(通勤)）,1万1010円／月,5階,44戸
尾久橋スカイハイツ,2480万円,東京都足立区小台１,日暮里・舎人ライナー「足立小台」歩3分,55.17m,2LDK,バルコニー面積：7.44m,1983年8月,2023/01/06 00:57,416a0a230ff1fba3f9ce00cf213d9d4624eda70702f6ae35aab619b74e280fae,6500円／月（委託(通勤)）,1万4300円／月,2階,293戸
サカイグリーンパーク北千住第8,3180万円,東京都足立区千住東１,東京メトロ千代田線「北千住」歩8分,50.52m,2LDK,バルコニー面積：8.43m,1985年12月,2023/01/06 01:01,e72d8a1cdfe409e33e36f490f8fb45068dba59cce14a6e433ac61396e01a07e2,7700円／月（委託(通勤)）,1万2770円／月,3階,31戸
グリーンパークお花茶屋,3180万円,東京都葛飾区四つ木５,京成本線「お花茶屋」歩11分,60.82m,3LDK,バルコニー面積：7.95m,1990年1月,2023/01/06 01:01,e4f71fc04c534ee06867546b5628966947920cde640fe56c623c26f1acf08eaf,1万920円／月（委託(通勤)）,1万3104円／月,1階,52戸
グリーンパーク亀有III,3280万円,東京都足立区中川３,ＪＲ常磐線「亀有」歩11分,62.51m,1LDK+2S（納戸）,バルコニー面積：8.44m,1991年1月,2023/01/06 01:03,161f50b6c333e47b216e2b51139cafa82fbb1764e973ea630e0a51bd3c6004a9,1万7970円／月（委託(通勤)）,1万270円／月,1階,31戸
メゾン葛西,3480万円,東京都江戸川区東葛西７,東京メトロ東西線「葛西」歩10分,78.59m,4LDK,バルコニー面積：11.76m,1980年9月,2023/01/06 01:07,0e5c3cf355cab7365505a5584a73f30e7a2f4a6bcea597ec7e2e623893e151bd,1万1180円／月（委託(通勤)）,1万8080円／月,4階,65戸
